Lanes,peak,smear_peak,smear_mean,peaks_ratio,mean_ratio,deviation,treatment,sample_quality,,,,,
chloro_05,117,86,87.95,1.3605,1.3303,1.86846,0.05,high 230,,,,,
chloro_1,92,72.5058,87.225,1.2689,1.0547,1.54244,0.1,high 230,,,,,
chloro_35,100,95.9412,95.425,1.0423,1.0479,2.63268,0.35,high 230,,,,,
chloro_5,97,93,93.4875,1.0430,1.0376,2.22752,0.5,high 230,,,,,
chloro_uncut,161,85,82.4125,1.8941,1.9536,1.84661,0,high 230,,,,,
chloro_uncut2,110,81,75.9375,1.3580,1.4486,1.60177,0,high 230,,,,,
ctm6_05,139,80,81.6,1.7375,1.7034,2.71237,0.05,good curve,,,,,
ctm6_1,104,85,83.55,1.2235,1.2448,2.15771,0.1,good curve,,,,,
ctm6_35,96,85,82.8125,1.1294,1.1592,1.81480,0.35,good curve,,,,,
ctm6_5,100,88,86.15,1.1364,1.1608,2.13530,0.5,good curve,,,,,
ctm6_uncut,189,75.0943,74.6875,2.5168,2.5305,1.20751,0,good curve,,,,,
ctm6_uncut2,124,73.4,71.25,1.6894,1.7404,1.14184,0,good curve,,,,,
MW_05,161,68.6429,70.1,2.3455,2.2967,2.29253,0.05,gill,,,,,
MW_1,129,76,75.2,1.6974,1.7154,3.56282,0.1,gill,,,,,
MW_35,82,75,70.9625,1.0933,1.1555,1.20593,0.35,gill,,,,,
MW_5,100,78,75.9625,1.2821,1.3164,2.72561,0.5,gill,,,,,
MW_uncut,241,68,65.2375,3.5441,3.6942,1.46039,0,gill,,,,,
MW_uncut2,261,66.8182,65.2375,3.9061,4.0008,1.26535,0,gill,,,,,
MW27_05,553,72,78.2,7.6806,7.0716,6.82401,0.05,gill,,,,,
MW27_1,80,68.48,68,1.1682,1.1765,1.07915,0.1,gill,,,,,
MW27_35,93,71,73.7375,1.3099,1.2612,2.04224,0.35,gill,,,,,
MW27_5,94,78,73.8625,1.2051,1.2726,2.16850,0.5,gill,,,,,
MW27_uncut,348,69,66.65,5.0435,5.2213,1.25385,0,gill,,,,,
MW27_uncut2,169,67.3226,65.85,2.5103,2.5664,1.06854,0,gill,,,,,
MW27rep_05,237,84,87.475,2.8214,2.7093,6.60068,0.05,gill,,,,,
MW27rep_1,116,82,80.65,1.4146,1.4383,3.17466,0.1,gill,,,,,
MW27rep_35,146,93,99.575,1.5699,1.4662,7.17375,0.35,gill,,,,,
MW27rep_5,149,102,104.2125,1.4608,1.4298,8.02006,0.5,gill,,,,,
MW27rep_uncut,381,76.6786,74.7,4.9688,5.1004,2.31888,0,gill,,,,,
MW27rep_uncut2,346,74,74.2625,4.6757,4.6591,1.42974,0,gill,,,,,
pb1_05,122,76,78.75308642,1.6053,1.5491,1.31844,0.05,worst curve,,,,,
pb1_1,98,78,79.66666667,1.2564,1.2301,1.37840,0.1,worst curve,,,,,
pb1_35,104,86,86.98765432,1.2093,1.1956,1.54510,0.35,worst curve,,,,,
pb1_5,103,88,87.44444444,1.1705,1.1779,1.50831,0.5,worst curve,,,,,
pb1_uncut,207,78,76.59259259,2.6538,2.7026,1.23266,0,worst curve,,,,,
pb1_uncut2,129,74,72.07407407,1.7432,1.7898,1.69394,0,worst curve,,,,,
pb5_05,93,79,74.5,1.1772,1.2483,2.50569,0.05,bad curve,,,,,
pb5_1,79,79,74.9375,1.0000,1.0542,2.20669,0.1,bad curve,,,,,
pb5_35,82,82,78.425,1.0000,1.0456,2.40134,0.35,bad curve,,,,,
pb5_5,83,85,79.8625,0.9765,1.0393,2.34787,0.5,bad curve,,,,,
pb5_uncut,112,74.4649,72.7875,1.5041,1.5387,2.51926,0,bad curve,,,,,
pb5_uncut2,84,75.5556,68.975,1.1118,1.2178,2.30011,0,bad curve,,,,,
wf3_05,153,81,76.93670886,1.8889,1.9886,1.91714,0.05,high 230,,,,,
wf3_1,119,84,81.64556962,1.4167,1.4575,2.12457,0.1,high 230,,,,,
wf3_35,109,72.3241,85.15189873,1.5071,1.2801,3.69368,0.35,high 230,,,,,
wf3_5,106,83,83.51898734,1.2771,1.2692,2.48514,0.5,high 230,,,,,
wf3_uncut,199,77.6,68.05063291,2.5644,2.9243,1.56810,0,high 230,,,,,
wf3_uncut2,196,73.9383,68.92405063,2.6509,2.8437,1.85204,0,high 230,,,,,
chloro_05,117,86,87.95,1.3605,1.3303,1.86846,0.05,high 230,,,,,
chloro_1,92,72.5058,87.225,1.2689,1.0547,1.54244,0.1,high 230,,,,,
chloro_35,100,95.9412,95.425,1.0423,1.0479,2.63268,0.35,high 230,,,,,
chloro_5,97,93,93.4875,1.0430,1.0376,2.22752,0.5,high 230,,,,,Do this by sample quality:
chloro_uncut,161,85,82.4125,1.8941,1.9536,1.84661,0,high 230,,,,,
chloro_uncut2,110,81,75.9375,1.3580,1.4486,1.60177,0,high 230,,,,,