Sample ID,Site,Location,Site Expected Species,Year,Mitochondrial Marker,L116,L148,L203,L430,L447,,,,,,,,,,,,,,,,,,
A - ARC 003,A - ARC,Reitsman Hatchery,Solidissima,2020,solidissima,,,,,,,,,,,,,,,,,,,,,,,
A - ARC 006,A - ARC,Reitsman Hatchery,Solidissima,2020,solidissima,,,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
A - ARC 007,A - ARC,Reitsman Hatchery,Solidissima,2020,solidissima,,,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
B - ICO 001,B - ICO,Reitsman Hatchery,Solidissima,2020,solidissima,,,,,,,,,,,,,,,,,,,,,,,
B - ICO 008,B - ICO,Reitsman Hatchery,Solidissima,2020,solidissima,hybrid,solidissima,,,,,,,,,,,,,,,,,,,,,
B - ICO 015,B - ICO,Reitsman Hatchery,Solidissima,2020,solidissima,,,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
BLP0819_181,BLP,Southern Long Island,Solidissima,2019,solidissima,hybrid,solidissima,similis,hybrid,solidissima,,,,,,,,,,,,,,,,,,
BLP0819_182,BLP,Southern Long Island,Solidissima,2019,solidissima,similis,solidissima,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
BLP0819_183,BLP,Southern Long Island,Solidissima,2019,solidissima,similis,solidissima,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
BLP0819_184,BLP,Southern Long Island,Solidissima,2019,solidissima,similis,solidissima,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
BLP0819_185,BLP,Southern Long Island,Solidissima,2019,solidissima,solidissima,solidissima,,solidissima,solidissima,,,,,,,,,,,,,,,,,,
BLP0819_186,BLP,Southern Long Island,Solidissima,2019,solidissima,solidissima,solidissima,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
BLP0819_187,BLP,Southern Long Island,Solidissima,2019,solidissima,similis,solidissima,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
BLP0819_190,BLP,Southern Long Island,Solidissima,2019,solidissima,,solidissima,solidissima,,solidissima,,,,,,,,,,,,,,,,,,
BLP0819_191,BLP,Southern Long Island,Solidissima,2019,solidissima,similis,solidissima,solidissima,hybrid,solidissima,,,,,,,,,,,,,,,,,,
BLP0819_192,BLP,Southern Long Island,Solidissima,2019,solidissima,solidissima,solidissima,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
BLP0819_193,BLP,Southern Long Island,Solidissima,2019,solidissima,similis,solidissima,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
BLP0819_194,BLP,Southern Long Island,Solidissima,2019,solidissima,similis,solidissima,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
BLP0819_200,BLP,Southern Long Island,Solidissima,2019,solidissima,,,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
BLP0819_201,BLP,Southern Long Island,Solidissima,2019,solidissima,,,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
BLP0819_203,BLP,Southern Long Island,Solidissima,2019,solidissima,,,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
C - MVSG 002,C - MVSG,Reitsman Hatchery,Similis,2020,similis,similis,similis,similis,hybrid,similis,,,,,,,,,,,,,,,,,,
C - MVSG 003,C - MVSG,Reitsman Hatchery,Similis,2020,similis,similis,similis,,,,,,,,,,,,,,,,,,,,,
C - MVSG 006,C - MVSG,Reitsman Hatchery,Similis,2020,similis,similis,similis,,,,,,,,,,,,,,,,,,,,,
C - MVSG 008,C - MVSG,Reitsman Hatchery,Similis,2020,similis,,,similis,hybrid,similis,,,,,,,,,,,,,,,,,,
C - MVSG 009,C - MVSG,Reitsman Hatchery,Similis,2020,similis,,,similis,similis,similis,,,,,,,,,,,,,,,,,,
C - MVSG 010,C - MVSG,Reitsman Hatchery,Similis,2020,similis,similis,similis,,,,,,,,,,,,,,,,,,,,,
C - MVSG 011,C - MVSG,Reitsman Hatchery,Similis,2020,similis,,,similis,hybrid,similis,,,,,,,,,,,,,,,,,,
C - MVSG 012,C - MVSG,Reitsman Hatchery,Similis,2020,similis,,,similis,similis,similis,,,,,,,,,,,,,,,,,,
CUP0819_244,CUP,Southern Long Island,Solidissima,2019,solidissima,,,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
CUP0819_253,CUP,Southern Long Island,Solidissima,2019,solidissima,,,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
CUP0819_260,CUP,Southern Long Island,Solidissima,2019,solidissima,,,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
CUP0819_283,CUP,Southern Long Island,Solidissima,2019,solidissima,,,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
CUP0819_284,CUP,Southern Long Island,Solidissima,2019,solidissima,hybrid,solidissima,,,,,,,,,,,,,,,,,,,,,
CUP0819_285,CUP,Southern Long Island,Solidissima,2019,solidissima,similis,solidissima,,,,,,,,,,,,,,,,,,,,,
CUP0819_286,CUP,Southern Long Island,Solidissima,2019,solidissima,similis,solidissima,,,,,,,,,,,,,,,,,,,,,
CUP0819_322,CUP,Southern Long Island,Solidissima,2019,solidissima,,,solidissima,hybrid,solidissima,,,,,,,,,,,,,,,,,,
CUP0819_323,CUP,Southern Long Island,Solidissima,2019,solidissima,,,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
CUP0819_324,CUP,Southern Long Island,Solidissima,2019,solidissima,,,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
CUP0819_353,CUP,Southern Long Island,Solidissima,2019,solidissima,hybrid,solidissima,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
CUP0819_354,CUP,Southern Long Island,Solidissima,2019,solidissima,hybrid,solidissima,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
CUP0819_361,CUP,Southern Long Island,Solidissima,2019,solidissima,similis,solidissima,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
CUP0819_362,CUP,Southern Long Island,Solidissima,2019,solidissima,hybrid,solidissima,,solidissima,solidissima,,,,,,,,,,,,,,,,,,
CUP0819_363,CUP,Southern Long Island,Solidissima,2019,solidissima,solidissima,solidissima,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
CUP0819_364,CUP,Southern Long Island,Solidissima,2019,solidissima,similis,solidissima,solidissima,hybrid,solidissima,,,,,,,,,,,,,,,,,,
CUP0819_372,CUP,Southern Long Island,Solidissima,2019,solidissima,similis,solidissima,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
CUP0819_379,CUP,Southern Long Island,Solidissima,2019,solidissima,hybrid,solidissima,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
CUP0819_380,CUP,Southern Long Island,Solidissima,2019,solidissima,hybrid,solidissima,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
CUP0819_381,CUP,Southern Long Island,Solidissima,2019,solidissima,similis,solidissima,solidissima,hybrid,solidissima,,,,,,,,,,,,,,,,,,
CUP0819_395,CUP,Southern Long Island,Solidissima,2019,solidissima,similis,solidissima,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
CUP0819_396,CUP,Southern Long Island,Solidissima,2019,solidissima,hybrid,solidissima,solidissima,hybrid,solidissima,,,,,,,,,,,,,,,,,,
CUP0819_397,CUP,Southern Long Island,Solidissima,2019,solidissima,hybrid,solidissima,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
CUP0819_399,CUP,Southern Long Island,Solidissima,2019,solidissima,similis,solidissima,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
GA12_001,GA,Georgia,Similis,2012,similis,similis,,,similis,similis,,,,,,,,,,,,,,,,,,
GA12_002,GA,Georgia,Similis,2012,similis,solidissima,similis,similis,similis,similis,,,,,,,,,,,,,,,,,,
GA12_003,GA,Georgia,Similis,2012,similis,,,similis,similis,similis,,,,,,,,,,,,,,,,,,
GA12_004,GA,Georgia,Similis,2012,similis,similis,similis,similis,similis,similis,,,,,,,,,,,,,,,,,,
GA12_005,GA,Georgia,Similis,2012,similis,,similis,similis,,,,,,,,,,,,,,,,,,,,
GA12_006,GA,Georgia,Similis,2012,similis,,,similis,,,,,,,,,,,,,,,,,,,,
GA12_007,GA,Georgia,Similis,2012,similis,,,similis,,similis,,,,,,,,,,,,,,,,,,
GA12_008,GA,Georgia,Similis,2012,similis,,,similis,similis,similis,,,,,,,,,,,,,,,,,,
GA12_009,GA,Georgia,Similis,2012,similis,similis,similis,similis,hybrid,similis,,,,,,,,,,,,,,,,,,
GA12_010,GA,Georgia,Similis,2012,similis,hybrid,similis,similis,similis,similis,,,,,,,,,,,,,,,,,,
GA12_011,GA,Georgia,Similis,2012,similis,similis,similis,similis,solidissima,similis,,,,,,,,,,,,,,,,,,
GA12_012,GA,Georgia,Similis,2012,similis,similis,similis,similis,solidissima,similis,,,,,,,,,,,,,,,,,,
GA12_013,GA,Georgia,Similis,2012,similis,,,,,,,,,,,,,,,,,,,,,,,
GA12_014,GA,Georgia,Similis,2012,similis,similis,similis,,,,,,,,,,,,,,,,,,,,,
GA12_015,GA,Georgia,Similis,2012,similis,,,similis,similis,similis,,,,,,,,,,,,,,,,,,
GA12_016,GA,Georgia,Similis,2012,similis,,,similis,hybrid,similis,,,,,,,,,,,,,,,,,,
GA12_017,GA,Georgia,Similis,2012,similis,similis,similis,hybrid,similis,hybrid,,,,,,,,,,,,,,,,,,
GA12_018,GA,Georgia,Similis,2012,similis,similis,similis,hybrid,similis,hybrid,,,,,,,,,,,,,,,,,,
GA12_020,GA,Georgia,Similis,2012,similis,similis,similis,similis,hybrid,hybrid,,,,,,,,,,,,,,,,,,
GA12_021,GA,Georgia,Similis,2012,similis,similis,similis,similis,hybrid,hybrid,,,,,,,,,,,,,,,,,,
GA12_022,GA,Georgia,Similis,2012,similis,similis,similis,similis,hybrid,similis,,,,,,,,,,,,,,,,,,
GA12_023,GA,Georgia,Similis,2012,similis,hybrid,similis,similis,hybrid,similis,,,,,,,,,,,,,,,,,,
GA12_024,GA,Georgia,Similis,2012,similis,similis,similis,similis,solidissima,hybrid,,,,,,,,,,,,,,,,,,
GBE0819_262,GBE,George's Bank,Solidissima,2019,solidissima,,,,,,,,,,,,,,,,,,,,,,,
GBE0819_263,GBE,George's Bank,Solidissima,2019,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,,,,
GBE0819_264,GBE,George's Bank,Solidissima,2019,solidissima,,,,,,,,,,,,,,,,,,,,,,,
GBE0819_291,GBE,George's Bank,Solidissima,2019,solidissima,,,,,,,,,,,,,,,,,,,,,,,
GBE0819_401,GBE,George's Bank,Solidissima,2019,solidissima,,,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
GBE0819_402,GBE,George's Bank,Solidissima,2019,solidissima,,,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
GBE0819_442,GBE,George's Bank,Solidissima,2019,solidissima,,,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
GBE0819_443,GBE,George's Bank,Solidissima,2019,solidissima,,,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
GBE0819_522,GBE,George's Bank,Solidissima,2019,solidissima,hybrid,similis,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
GBE0819_523,GBE,George's Bank,Solidissima,2019,solidissima,solidissima,similis,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
GBE0819_524,GBE,George's Bank,Solidissima,2019,solidissima,solidissima,similis,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
GLD0819_001,GLD,Northern Long Island,Similis,2019,similis,,,,,similis,,,,,,,,,,,,,,,,,,
GLD0819_002,GLD,Northern Long Island,Similis,2019,similis,,,similis,similis,similis,,,,,,,,,,,,,,,,,,
GLD0819_003,GLD,Northern Long Island,Similis,2019,similis,,,hybrid,hybrid,similis,,,,,,,,,,,,,,,,,,
GLD0819_004,GLD,Northern Long Island,Similis,2019,similis,,,hybrid,similis,similis,,,,,,,,,,,,,,,,,,
GLD0819_005,GLD,Northern Long Island,Similis,2019,similis,hybrid,similis,,,,,,,,,,,,,,,,,,,,,
GLD0819_006,GLD,Northern Long Island,Similis,2019,similis,hybrid,similis,,,,,,,,,,,,,,,,,,,,,
GLD0819_007,GLD,Northern Long Island,Similis,2019,similis,similis,similis,,,,,,,,,,,,,,,,,,,,,
GLD0819_008,GLD,Northern Long Island,Similis,2019,similis,similis,similis,,,,,,,,,,,,,,,,,,,,,
MCX0819_061,MCX,Southern Long Island,Solidissima,2019,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,,,,
MCX0819_062,MCX,Southern Long Island,Solidissima,2019,solidissima,hybrid,solidissima,,,,,,,,,,,,,,,,,,,,,
MCX0819_069,MCX,Southern Long Island,Solidissima,2019,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,,,,
MCX0819_078,MCX,Southern Long Island,Solidissima,2019,solidissima,,,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
MCX0819_079,MCX,Southern Long Island,Solidissima,2019,solidissima,,,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
MCX0819_080,MCX,Southern Long Island,Solidissima,2019,solidissima,,,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
MW001,MW,Massachusetts,Similis,2012,solidissima,solidissima,solidissima,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
MW002,MW,Massachusetts,Similis,2012,solidissima,solidissima,solidissima,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
MW009,MW,Massachusetts,Similis,2012,similis,similis,similis,similis,similis,similis,,,,,,,,,,,,,,,,,,
MW011,MW,Massachusetts,Similis,2012,similis,similis,similis,similis,solidissima,similis,,,,,,,,,,,,,,,,,,
MW012,MW,Massachusetts,Similis,2012,similis,similis,similis,hybrid,solidissima,similis,,,,,,,,,,,,,,,,,,
MW013,MW,Massachusetts,Similis,2012,similis,similis,similis,hybrid,similis,similis,,,,,,,,,,,,,,,,,,
MW014,MW,Massachusetts,Similis,2012,similis,similis,similis,hybrid,hybrid,similis,,,,,,,,,,,,,,,,,,
MW015,MW,Massachusetts,Similis,2012,similis,similis,similis,similis,solidissima,hybrid,,,,,,,,,,,,,,,,,,
MW016,MW,Massachusetts,Similis,2012,similis,solidissima,solidissima,,,,,,,,,,,,,,,,,,,,,
MW017,MW,Massachusetts,Similis,2012,solidissima,similis,similis,similis,solidissima,hybrid,,,,,,,,,,,,,,,,,,
MW018,MW,Massachusetts,Similis,2012,similis,similis,similis,similis,solidissima,similis,,,,,,,,,,,,,,,,,,
MW019,MW,Massachusetts,Similis,2012,similis,solidissima,similis,similis,solidissima,hybrid,,,,,,,,,,,,,,,,,,
MW020,MW,Massachusetts,Similis,2012,similis,similis,similis,similis,hybrid,hybrid,,,,,,,,,,,,,,,,,,
MW021,MW,Massachusetts,Similis,2012,similis,similis,similis,similis,similis,similis,,,,,,,,,,,,,,,,,,
MW022,MW,Massachusetts,Similis,2012,similis,hybrid,hybrid,similis,hybrid,similis,,,,,,,,,,,,,,,,,,
MW023,MW,Massachusetts,Similis,2012,similis,solidissima,similis,similis,similis,similis,,,,,,,,,,,,,,,,,,
MW024,MW,Massachusetts,Similis,2012,similis,hybrid,similis,similis,solidissima,similis,,,,,,,,,,,,,,,,,,
MW025,MW,Massachusetts,Similis,2012,similis,similis,similis,similis,solidissima,similis,,,,,,,,,,,,,,,,,,
MW026,MW,Massachusetts,Similis,2012,similis,similis,similis,similis,solidissima,similis,,,,,,,,,,,,,,,,,,
MW027,MW,Massachusetts,Similis,2012,similis,similis,similis,similis,solidissima,similis,,,,,,,,,,,,,,,,,,
MW028,MW,Massachusetts,Similis,2012,similis,similis,similis,similis,hybrid,similis,,,,,,,,,,,,,,,,,,
MW029,MW,Massachusetts,Similis,2012,similis,similis,similis,similis,similis,similis,,,,,,,,,,,,,,,,,,
MW030,MW,Massachusetts,Similis,2012,similis,similis,similis,similis,similis,similis,,,,,,,,,,,,,,,,,,
MW031,MW,Massachusetts,Similis,2012,similis,similis,similis,similis,similis,similis,,,,,,,,,,,,,,,,,,
MW032,MW,Massachusetts,Similis,2012,similis,similis,similis,similis,solidissima,similis,,,,,,,,,,,,,,,,,,
MW033,MW,Massachusetts,Similis,2012,similis,solidissima,solidissima,,,,,,,,,,,,,,,,,,,,,
MW034,MW,Massachusetts,Similis,2012,solidissima,similis,similis,similis,similis,similis,,,,,,,,,,,,,,,,,,
MW035,MW,Massachusetts,Similis,2012,similis,,similis,similis,similis,similis,,,,,,,,,,,,,,,,,,
MW036,MW,Massachusetts,Similis,2012,similis,,similis,similis,solidissima,similis,,,,,,,,,,,,,,,,,,
MW037,MW,Massachusetts,Similis,2012,similis,,similis,similis,similis,similis,,,,,,,,,,,,,,,,,,
MW038,MW,Massachusetts,Similis,2012,similis,similis,similis,similis,hybrid,hybrid,,,,,,,,,,,,,,,,,,
MW039,MW,Massachusetts,Similis,2012,similis,similis,similis,similis,solidissima,similis,,,,,,,,,,,,,,,,,,
MW041,MW,Massachusetts,Similis,2012,similis,similis,similis,,,,,,,,,,,,,,,,,,,,,
MW042,MW,Massachusetts,Similis,2012,similis,similis,similis,,,,,,,,,,,,,,,,,,,,,
MW043,MW,Massachusetts,Similis,2012,similis,similis,similis,,,,,,,,,,,,,,,,,,,,,
MW044,MW,Massachusetts,Similis,2012,similis,similis,similis,,,,,,,,,,,,,,,,,,,,,
MW061,MW,Massachusetts,Similis,2012,similis,,,,solidissima,similis,,,,,,,,,,,,,,,,,,
MW062,MW,Massachusetts,Similis,2012,similis,,,similis,solidissima,similis,,,,,,,,,,,,,,,,,,
MW063,MW,Massachusetts,Similis,2012,similis,similis,similis,similis,hybrid,hybrid,,,,,,,,,,,,,,,,,,
MW064,MW,Massachusetts,Similis,2012,similis,similis,similis,similis,similis,similis,,,,,,,,,,,,,,,,,,
MW065,MW,Massachusetts,Similis,2012,similis,,,similis,faint hybrid,similis,,,,,,,,,,,,,,,,,,
MW066,MW,Massachusetts,Similis,2012,similis,similis,similis,similis,similis,similis,,,,,,,,,,,,,,,,,,
MW067,MW,Massachusetts,Similis,2012,similis,similis,similis,similis,similis,similis,,,,,,,,,,,,,,,,,,
PEC0819_011,PEC,Northern Long Island,Similis,2019,similis,similis,similis,similis,simlis,similis,,,,,,,,,,,,,,,,,,
PEC0819_012,PEC,Northern Long Island,Similis,2019,similis,similis,similis,hybrid,,similis,,,,,,,,,,,,,,,,,,
PEC0819_013,PEC,Northern Long Island,Similis,2019,similis,similis,unclear,similis,similis,hybrid,,,,,,,,,,,,,,,,,,
PT03,PT,Massachusetts,Solidissima,2012,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,,,,
PT04,PT,Massachusetts,Solidissima,2012,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,,,,
PT05,PT,Massachusetts,Solidissima,2012,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,,,,
PT06,PT,Massachusetts,Solidissima,2012,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,,,,
PT08,PT,Massachusetts,Solidissima,2012,solidissima,,,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
PT10,PT,Massachusetts,Solidissima,2012,solidissima,,,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
PT12,PT,Massachusetts,Solidissima,2012,solidissima,,,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
PT15,PT,Massachusetts,Solidissima,2012,solidissima,,,,,,,,,,,,,,,,,,,,,,,
PT16,PT,Massachusetts,Solidissima,2012,solidissima,solidissima,solidissima,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
PT18,PT,Massachusetts,Solidissima,2012,solidissima,solidissima,solidissima,solidissima,hybrid,solidissima,,,,,,,,,,,,,,,,,,
PT19,PT,Massachusetts,Solidissima,2012,solidissima,solidissima,solidissima,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
PT20,PT,Massachusetts,Solidissima,2012,solidissima,hybrid,solidissima,solidissima,similis,solidissima,,,,,,,,,,,,,,,,,,
SHN0819_099,SHN,Southern Long Island,Solidissima,2019,solidissima,,,,,,,,,,,,,,,,,,,,,,,
SHN0819_100,SHN,Southern Long Island,Solidissima,2019,solidissima,,,,,,,,,,,,,,,,,,,,,,,
SHN0819_101,SHN,Southern Long Island,Solidissima,2019,solidissima,,,,,,,,,,,,,,,,,,,,,,,
SHN0819_115,SHN,Southern Long Island,Solidissima,2019,solidissima,,,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
SHN0819_116,SHN,Southern Long Island,Solidissima,2019,solidissima,,,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
SHN0819_117,SHN,Southern Long Island,Solidissima,2019,solidissima,,,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
SHN0819_121,SHN,Southern Long Island,Solidissima,2019,solidissima,similis,similis,solidissima,hybrid,solidissima,,,,,,,,,,,,,,,,,,
SHN0819_122,SHN,Southern Long Island,Solidissima,2019,solidissima,hybrid,similis,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
SHN0819_123,SHN,Southern Long Island,Solidissima,2019,solidissima,hybrid,similis,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
SHN0819_124,SHN,Southern Long Island,Solidissima,2019,solidissima,solidissima,similis,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
SHN0819_125,SHN,Southern Long Island,Solidissima,2019,solidissima,hybrid,similis,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
SHN0819_126,SHN,Southern Long Island,Solidissima,2019,solidissima,solidissima,similis,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
SHN0819_127,SHN,Southern Long Island,Solidissima,2019,solidissima,solidissima,similis,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
SHN0819_128,SHN,Southern Long Island,Solidissima,2019,solidissima,solidissima,similis,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
SHN0819_129,SHN,Southern Long Island,Solidissima,2019,solidissima,unclear,similis,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
SHN0819_130,SHN,Southern Long Island,Solidissima,2019,solidissima,hybrid,similis,,hybrid,solidissima,,,,,,,,,,,,,,,,,,
SHN0819_131,SHN,Southern Long Island,Solidissima,2019,solidissima,hybrid,similis,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
SHN0819_132,SHN,Southern Long Island,Solidissima,2019,solidissima,hybrid,similis,solidissima,solidissima,solidissima,,,,,,,,,,,,,,,,,,
SHN0819_133,SHN,Southern Long Island,Solidissima,2018,solidissima,solidissima,similis,similis,solidissima,solidissima,,,,,,,,,,,,,,,,,,
TEST0819_009,TEST,Northern Long Island,Similis,2019,similis,,,hybrid,,similis,,,,,,,,,,,,,,,,,,
TEST0819_010,TEST,Northern Long Island,Similis,2019,similis,,,solidissima,,solidissima,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,